Food Item,Energy (kcal),Protein (g),Fat (g),CHO (g),Fiber (g),Sugars (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg)
Celery stalk,69,0.98,0.24,2.33,2.09,0.75,10.68,38.73,1.36,12.3
Cho-cho-marrow,79,0.66,0.15,3.47,1.55,0.76,1.28,18.64,0.48,20.21
Cluster beans,168,3.55,0.37,4.91,4.83,0.12,4.05,121.0,3.9,17.96
"Colocasia, stem, black",100,0.76,0.34,3.83,3.01,0.53,0.45,29.46,0.77,5.15
"Colocasia, stem, green",81,0.91,0.22,2.86,2.33,0.25,0.6,40.21,0.55,5.83
"Corn, Baby",306,2.69,1.33,11.66,6.09,0.49,1.4,76.51,1.45,8.59
"Cucumber, green, elongate",82,0.71,0.16,3.48,2.14,0.27,6.33,16.39,0.46,6.11
"Cucumber, green, short",73,0.83,0.18,2.82,2.13,0.21,6.11,19.25,0.59,6.21
"Cucumber, orange, round",82,0.98,0.24,3.01,2.46,0.22,8.16,21.98,0.45,6.24
Drumstick,123,2.62,0.12,3.76,6.83,1.47,22.38,33.3,0.73,71.86
"Field beans, tender, broad",129,3.06,0.64,2.75,5.64,0.95,14.14,70.57,1.95,5.99
"Field beans, tender, lean",140,3.71,0.6,2.85,6.19,0.76,12.76,58.59,1.48,3.84
"French beans, country",102,2.49,0.26,2.68,4.38,1.06,8.84,55.99,1.25,15.81
"French beans, hybrid",93,2.12,0.19,2.63,4.18,1.0,9.18,49.9,0.98,1.38
"Jack fruit, raw",110,1.98,0.35,3.48,7.69,2.02,3.53,45.74,0.31,17.51
"Jack fruit, seed, mature",322,5.79,0.44,11.81,8.63,2.23,4.0,37.56,0.37,9.68
Knol - Khol,67,1.58,0.35,1.39,2.75,0.43,27.46,35.26,0.24,64.7
"Kovai, big",73,1.39,0.24,2.01,3.0,0.98,1.53,34.39,0.38,17.62
"Kovai, small",80,1.22,0.24,2.41,3.25,1.07,2.2,37.12,0.29,21.08
Ladies finger,115,2.08,0.22,3.62,4.08,0.48,7.37,86.12,0.84,22.51
"Mango, green, raw",205,0.69,0.08,10.59,3.01,2.42,33.15,27.0,0.4,90.24
"Onion, stalk",107,2.07,0.26,2.99,5.21,0.41,15.52,31.12,3.09,27.23
"Papaya, raw",100,0.5,0.23,4.4,2.28,3.63,7.55,22.72,0.2,20.73
Parwar,101,1.4,0.3,3.54,2.61,0.37,2.29,30.76,0.5,19.24
"Peas, fresh",340,7.25,0.13,11.88,6.32,0.97,3.66,28.24,1.58,38.4
"Plantain, flower",89,1.47,0.63,2.15,5.25,0.17,7.51,34.06,0.4,6.49
"Plantain, green",334,1.18,0.23,17.58,3.6,0.86,18.57,13.8,0.34,23.28
"Plantain, stem",165,0.35,0.16,8.64,2.12,0.65,23.17,11.24,0.26,3.77
"Pumpkin, green, cylindrical",103,0.87,0.18,4.22,2.53,2.9,5.21,24.1,0.29,7.29
"Pumpkin, orange, round",97,0.84,0.16,4.0,2.56,2.97,8.81,23.06,0.36,8.04
"Red gram, tender, fresh",520,8.09,0.92,19.46,5.9,0.55,2.54,58.58,1.18,15.13
Ridge gourd,55,0.91,0.14,1.72,1.81,0.62,4.71,13.7,0.42,5.42
"Ridge gourd, smooth skin",64,0.98,0.13,2.24,1.85,0.41,6.27,14.96,0.5,8.1
"Snake gourd, long, pale green",52,0.98,0.25,1.27,2.27,0.42,7.07,24.6,0.32,2.72
"Snake gourd, long, dark green",50,0.89,0.25,1.23,2.27,0.45,5.04,27.11,0.47,2.85
"Snake gourd, short",61,0.54,0.26,2.15,2.29,0.46,2.5,17.9,0.2,2.3
"Tinda, tender",58,1.02,0.17,1.9,2.0,0.44,20.61,19.68,0.41,14.2
"Tomato, green",87,1.12,0.27,3.18,1.62,0.83,13.11,8.49,0.42,16.41
"Tomato, ripe, hybrid",79,0.76,0.25,3.2,1.58,1.82,11.86,8.9,0.22,25.27
"Tomato, ripe, local",82,0.9,0.47,2.71,1.77,1.34,9.73,10.17,0.3,27.47
"Zucchini, green",84,1.1,0.51,2.33,2.3,0.14,0.4,17.26,0.52,15.78
"Zucchini, yellow",79,1.31,0.44,2.2,1.84,0.29,0.39,20.98,0.34,16.71
"Apple, big",261,0.29,0.64,13.11,2.59,9.53,1.43,13.68,0.26,3.57
"Apple, green",214,0.46,0.5,10.65,2.54,8.39,1.47,6.53,0.2,2.9
"Apple, small",267,0.31,0.53,13.95,2.06,9.8,1.45,5.39,0.25,4.0
"Apple, small, Kashmir",269,0.27,0.6,13.99,2.07,9.15,1.22,4.72,0.21,4.24
"Apricot, dried",1321,3.17,0.74,72.63,3.32,25.72,3.94,28.57,2.5,0.42
"Apricot, processed",236,1.47,0.64,10.93,0.59,4.36,1.6,5.42,1.12,7.98
Avocado fruit,604,2.95,13.86,1.75,6.69,1.65,2.81,28.48,0.81,9.36
