Food Item,Energy (kcal),CHO (g),Protein (g),Fat (g),Sugars (g),Fiber (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cluster,Predicted_Score,Feedback
Green tomato pickle (Haray tamatar ka achaar),193.26,2.87,1.23,19.67,0.77,1.74,159.18,14.22,0.77,8.21,7.15,1,72.77512814920146,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Pickled cabbage,13.69,2.56,0.39,0.14,2.08,0.61,121.39,15.96,0.19,16.63,23.56,1,72.61460402816628,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Coconut pickle (Nariyal ka aachar),517.26,11.53,3.02,51.71,8.98,6.35,176.54,44.78,2.62,1.71,5.56,3,70.15339864859453,"Add more protein sources like dal, paneer or lentils. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Potato pickle (Aloo ka achaar),369.14,7.87,2.07,36.46,0.82,2.21,213.73,48.46,1.12,10.14,8.16,1,72.86114402519041,"Add more protein sources like dal, paneer or lentils. | Limit oily or fried food."
Mango murabba candy,293.35,77.32,0.27,0.05,74.73,0.95,13.71,16.55,0.33,19.85,5.7,3,68.11632806545731,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts."
Afghani chicken,151.51,1.95,15.66,9.07,0.83,0.31,87.02,35.14,1.04,3.54,20.52,0,74.688632733392,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Fish orly,563.7,4.27,5.87,58.18,0.24,0.33,136.37,9.55,0.31,1.35,12.83,0,73.97679268611508,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Hariyali Fish Tikka,150.24,2.21,14.01,9.41,0.83,0.99,100.45,34.86,0.83,11.11,26.78,0,74.73086275901001,Include fiber-rich veggies or whole grains.
Chicken manchurian,142.34,6.06,9.53,11.96,0.9,0.41,2414.77,26.52,1.28,10.37,45.99,0,74.6187646437198,Include fiber-rich veggies or whole grains. | Reduce salt and processed foods.
Handi chicken,166.02,1.49,12.32,12.46,0.75,0.67,75.64,26.85,0.93,1.47,20.46,0,74.59876118906884,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Lemon chicken,169.79,0.55,20.2,9.66,0.16,0.16,79.93,17.4,0.95,8.94,31.21,0,74.7899443837978,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Lemon butter fish,160.25,0.75,16.38,10.26,0.23,0.36,187.72,18.66,0.4,8.7,19.1,0,74.62194133470858,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Baked eggs in tomato sauce,80.05,3.78,4.92,5.22,2.03,0.01,188.21,71.94,1.31,245.7,317.88,1,73.40088675879936,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Egg in a pepper,128.78,0.17,12.64,8.68,0.05,0.17,183.89,48.25,1.76,33.6,290.24,0,74.78452423964302,Include fiber-rich veggies or whole grains.
Spinach mushroom scrambled egg (Palak mushroom bhurji),158.85,0.59,13.28,11.51,0.1,0.39,227.97,140.31,1.6,2.27,54.24,0,74.71901146670454,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Corn omelette/omlet,166.93,1.57,11.37,12.89,0.41,0.02,166.42,96.22,1.34,2.9,81.65,0,74.55839862035103,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Cajun chicken,184.94,1.94,12.69,13.99,1.1,0.89,1740.13,156.98,0.53,45.44,44.55,0,74.69197016502648,Include fiber-rich veggies or whole grains. | Reduce salt and processed foods.
Paaner do pyaza,127.7,3.41,4.22,10.87,2.2,0.84,160.66,57.22,0.45,16.81,35.64,1,72.72697638622476,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Cabbage manchurian (Pattagobhi manchurian),224.26,4.85,0.64,22.48,0.33,0.37,75.02,3.18,0.2,28.39,30.24,1,72.52738213375649,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Gobi 65,278.29,3.59,0.56,29.11,0.29,0.57,69.22,12.37,0.3,27.52,37.66,1,72.50819954758077,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Paneer lababdar,105.48,3.37,3.98,8.46,1.96,1.16,142.45,55.56,0.56,27.48,56.6,1,72.83732307488778,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Roasted cauliflower steak,78.68,2.02,2.05,6.7,0.44,3.53,120.19,24.47,0.95,47.14,46.0,1,73.29099136093882,"Add more protein sources like dal, paneer or lentils."
Sauteed radishes with green beans,94.32,6.04,2.41,6.61,1.78,3.52,65.1,40.2,1.01,6.55,45.89,1,73.21045852651797,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Garlic chutney/Poondu chutney (Lahasun ki chutney),255.51,20.44,3.34,17.55,13.36,5.15,177.62,63.51,3.26,5.7,16.82,1,73.5750354832513,"Add more protein sources like dal, paneer or lentils. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Schezwan chutney,205.19,10.79,3.33,17.72,5.66,5.72,486.27,35.46,1.96,26.36,159.08,1,73.62400045479727,"Add more protein sources like dal, paneer or lentils. | Reduce salt and processed foods."
Onion chutney (Pyaaz ki chutney/Vengaya chutney),143.94,13.52,2.97,8.38,6.8,4.6,256.89,28.5,1.19,2.83,17.03,1,73.32698271174759,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Dates chutney (Khajoor ki chutney),103.57,21.69,1.07,1.12,18.68,3.41,76.77,28.72,1.19,3.41,17.27,1,72.89174234662576,"Add more protein sources like dal, paneer or lentils. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Chicken salad,338.19,1.3,15.33,30.26,0.96,2.0,50.62,43.19,1.23,4.92,35.5,0,74.79923864087644,"Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Macaroni salad,262.19,21.63,5.02,17.78,3.73,0.56,163.99,35.7,0.77,22.15,34.69,0,74.49996042313737,Include fiber-rich veggies or whole grains.
Cabbage raita (Pattagobhi raita),84.84,5.25,3.24,5.76,4.21,0.93,125.31,118.49,0.19,28.29,53.73,1,72.70512628987498,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Pomegranate raita (Anaar ka raita),72.64,7.15,4.05,3.24,7.01,0.6,195.18,138.31,0.25,4.6,23.86,1,72.58596035804968,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Onion raita (Pyaaz ka raita),71.56,7.86,4.86,2.43,7.07,0.65,189.96,163.8,0.3,8.44,32.13,1,72.64770228043847,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Green chilli raita (Hari mirch ka raita),77.13,7.66,5.58,2.92,7.49,0.26,161.31,193.58,0.21,4.3,18.82,1,72.5686709531196,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Kale salad,177.71,5.01,4.86,15.33,3.31,1.36,292.04,109.11,1.3,30.49,35.39,1,72.95006506701014,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Spinach and paneer souffle,186.19,9.64,7.56,13.49,2.81,1.07,434.68,114.32,1.4,10.82,133.95,0,74.65473886629204,Include fiber-rich veggies or whole grains. | Reduce salt and processed foods.
Masala souffle,123.51,8.02,6.38,7.37,1.84,1.24,131.14,103.68,0.74,382.64,363.81,1,73.92437562917034,Include fiber-rich veggies or whole grains.
Chicken and cheese souffle,182.35,3.47,9.07,14.74,2.46,0.26,120.93,61.71,0.63,2.4,28.77,0,74.35980040985842,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Tamarind chutney (Chintapandu pachadi/Puli chutney),109.15,25.07,0.88,0.48,22.85,1.65,75.61,40.3,1.95,0.03,0.18,1,72.65644282127776,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Pav bhaji masala,230.47,29.15,9.13,10.96,1.48,24.3,1814.66,588.91,12.84,0.06,0.21,2,77.02150545129406,"Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Green chutney,79.42,10.01,5.42,1.6,0.92,5.84,262.81,112.74,4.58,7.35,15.53,1,74.32407783076735,"Add citrus fruits, amla or bell peppers."
Sago khitchdi/khichri (Sabudana khitchdi/khichri),187.16,22.41,2.72,10.1,1.03,1.82,100.26,15.13,0.86,13.41,34.18,1,73.12948850929276,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Gram flour chilla/cheela (Besan chilla/cheela),135.93,21.03,7.8,2.85,1.87,4.25,135.57,28.38,2.19,1.73,34.69,0,75.45939535399799,"Add citrus fruits, amla or bell peppers."
Vegetable namkeen jave,112.23,18.98,2.93,2.51,1.04,2.86,32.13,10.32,1.07,12.45,26.26,1,73.33981195971711,"Add more protein sources like dal, paneer or lentils."
Khakhra,178.5,27.66,4.78,5.32,0.88,5.43,184.16,21.27,2.14,0.56,10.5,1,73.99407477205428,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Moong bean dosa (Pesarattu),285.96,31.91,12.32,11.67,2.9,6.04,61.36,36.44,3.38,1.48,14.32,3,71.17692075504402,"Add citrus fruits, amla or bell peppers."
Methi thepla,346.16,41.34,8.98,15.95,2.98,7.56,543.27,73.51,4.52,1.06,15.26,3,71.56522673569009,"Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Rice puttu (Ari puttu),81.98,11.82,1.26,3.13,0.33,0.76,48.28,4.96,0.42,0.0,4.85,1,72.7827525634926,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Buckwheat pancake (Khura),263.3,27.28,2.91,16.43,0.64,0.56,69.97,11.32,0.69,0.66,3.38,1,72.90337158842502,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Quinoa khichdi/khichri,64.01,8.83,3.18,1.59,0.69,2.58,69.64,24.59,1.12,9.13,82.57,1,73.21326466806335,"Add more protein sources like dal, paneer or lentils. | Add citrus fruits, amla or bell peppers."
Khakhra chaat,358.66,16.64,4.52,30.65,3.26,3.04,102.78,24.49,1.26,46.67,312.97,1,73.23280783173546,"Add more protein sources like dal, paneer or lentils. | Limit oily or fried food."
Banana appam,469.81,20.06,1.17,42.53,9.95,0.67,20.14,13.74,0.77,4.03,13.79,1,72.35065452391903,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Veg manchurian,585.64,6.82,0.89,61.65,0.76,1.16,65.31,16.79,0.31,15.1,26.53,0,73.98546745834122,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Pav bhaji,96.53,11.99,2.66,4.32,2.06,1.98,163.89,24.86,0.97,76.48,170.49,1,73.23292603277719,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Rice murukku,593.99,33.29,5.41,48.22,0.17,2.18,63.31,24.63,1.7,0.0,8.2,0,74.84832255032892,"Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Bhel puri,509.89,16.47,3.52,47.91,3.41,2.24,93.98,24.22,1.29,31.61,157.03,0,74.54707922283153,"Add more protein sources like dal, paneer or lentils. | Limit oily or fried food."
Semolina dhokla (Suji/Rava dhokla),194.91,30.86,5.44,5.2,1.85,5.12,443.39,31.17,2.52,3.66,15.26,0,75.67252792427605,"Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Spicy corn chaat,479.8,11.45,4.61,46.55,0.95,2.17,86.5,17.28,0.84,14.1,227.37,0,74.4770360724527,"Add more protein sources like dal, paneer or lentils. | Limit oily or fried food."
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),597.79,24.0,2.34,54.41,11.48,1.5,46.39,24.62,1.15,0.32,2.47,0,74.09819249429447,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Banana chips (Kele ke chips),665.67,7.32,0.37,70.46,4.37,0.65,86.87,2.01,0.19,4.03,8.97,0,73.68095632345772,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
