Food Item,Energy (kcal),CHO (g),Protein (g),Fat (g),Sugars (g),Fiber (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Cluster,Predicted_Score,Feedback
Phirni,116.12,16.11,3.49,4.34,10.79,0.36,22.47,104.57,0.23,5.04,20.33,1,72.50701100853614,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38,13.98,1.86,1.28,11.77,0.65,0.05,7.96,1,72.67288799961646,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Shahi suji halwa,382.34,44.44,3.48,21.73,27.21,2.96,2.18,18.64,0.98,0.02,7.46,3,69.4336140109804,"Add more protein sources like dal, paneer or lentils. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Carrot halwa (Gajar ka halwa),172.64,18.53,3.11,9.73,16.85,2.65,39.96,106.94,0.76,6.53,44.8,1,72.7363571372073,"Add more protein sources like dal, paneer or lentils. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Egg halwa (Ande ka halwa),299.74,39.59,7.85,13.41,37.85,0.49,83.04,35.77,1.45,0.0,24.67,3,68.96013530998833,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,17.42,1.64,4.23,14.15,0.63,28.98,20.72,1,72.71514128594747,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts."
Pumpkin halwa (Kaddu ka halwa),190.27,27.6,1.33,8.81,26.64,2.97,8.09,24.34,0.63,8.08,27.9,1,72.5293012271601,"Add more protein sources like dal, paneer or lentils. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Moong dal halwa,349.8,40.23,8.35,17.68,25.59,2.65,11.19,110.4,1.51,0.03,34.53,3,69.64628327728518,"Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Caramel custard (steamed),121.58,15.02,4.97,4.87,14.98,0.0,43.57,88.12,0.51,3.02,35.21,1,72.39416636988273,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Baked custard,106.53,9.45,5.41,5.3,9.42,0.0,47.13,95.32,0.54,3.02,35.21,0,74.14008785255209,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Soft Custard (stirred),109.18,11.19,5.01,5.07,11.15,0.0,122.17,95.82,0.49,3.62,37.31,1,72.46382628647672,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Chocolate ice cream,177.7,15.41,4.47,11.25,15.33,0.0,36.79,84.24,0.47,4.06,43.75,1,72.32317772912052,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Mango ice cream,125.69,11.14,3.4,7.62,11.01,0.52,29.13,67.17,0.39,44.98,142.26,1,72.5694470688563,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts."
Fruit Ice cream (Phalon ka Ice cream),171.46,16.05,4.37,10.38,14.03,0.33,38.78,93.35,0.36,4.02,15.6,1,72.40413243847169,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Caramel ice cream,173.52,14.81,4.31,11.15,14.52,0.08,33.47,87.32,0.35,3.27,25.96,1,72.32770596208846,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Lemon souffle,168.51,13.43,6.95,10.02,11.67,0.0,50.73,59.81,0.56,12.9,32.11,0,74.15058617216525,Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts.
Orange souffle,168.28,14.2,6.8,9.73,12.31,0.22,49.22,59.04,0.65,19.16,37.93,0,74.20143274671813,Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts.
Vanilla souffle,187.85,14.78,7.71,11.19,12.86,0.0,56.73,70.6,0.58,1.3,30.71,0,74.11700055510632,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Chocolate souffle,189.32,14.74,7.88,11.36,12.69,0.0,56.07,71.55,0.71,1.3,31.85,0,74.14581265372941,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Pineapple souffle,196.14,15.52,8.06,11.72,13.45,0.0,59.17,67.23,0.61,1.0,29.66,0,74.11722513619885,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Apple mousse,106.92,12.77,4.21,4.27,10.56,1.6,28.79,33.76,0.48,14.48,35.22,1,72.74164886144293,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts."
Rich chocolate mousse,188.26,10.84,7.96,12.19,10.3,0.0,51.71,54.59,0.97,0.7,31.64,0,74.20837717486233,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Mango mousse,124.98,9.14,3.21,8.47,8.89,0.88,19.62,51.38,0.35,42.76,110.68,1,72.63865880247225,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains."
Orange and pineapple cream,101.18,11.96,1.44,5.43,11.37,1.03,10.17,35.0,0.41,19.89,10.56,1,72.54169180569922,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts."
Charlotte rousse,188.29,34.08,3.95,4.78,20.48,1.01,56.45,34.95,0.53,25.28,28.72,1,72.61812850669597,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts."
Triffle pudding,116.97,18.24,2.93,3.93,13.89,0.12,26.95,48.72,0.47,19.31,28.71,1,72.4613508461033,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts."
Snow flakes pudding,95.21,8.07,4.67,4.97,8.01,0.03,39.6,101.33,0.42,5.47,42.48,1,72.51156916630865,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Kulfi,98.43,11.3,3.21,4.7,10.39,0.12,23.97,111.86,0.2,5.04,18.69,1,72.41642324833147,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Steamed orange pudding,278.03,41.53,2.34,12.04,26.53,0.58,79.1,21.15,0.55,21.74,15.92,1,72.35226497834017,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts."
Meringue and rice pudding,112.93,14.6,4.84,4.05,10.87,0.17,44.16,85.43,0.37,3.02,24.69,1,72.51511068861268,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Cheese pudding,285.01,19.27,11.29,18.37,18.63,0.05,37.83,226.11,0.87,0.3,60.43,0,74.10696047142518,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Chocolate pudding,211.96,29.59,3.55,9.48,20.68,0.53,171.36,64.56,0.6,0.75,18.08,1,72.39743785518617,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Bread and butter pudding,167.94,19.63,5.59,7.88,11.84,0.98,96.3,105.54,0.9,1.58,21.41,0,74.36616697492902,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Queen of pudding,132.92,16.35,5.51,5.38,11.77,0.27,85.59,78.26,0.53,8.11,46.64,1,72.56949380515084,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Pineapple upside down pudding,257.73,35.73,3.15,11.91,22.16,0.8,74.52,26.05,0.68,9.66,15.44,1,72.4638059811042,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Date and nut pie,322.42,46.86,3.93,13.31,31.18,4.13,3.87,34.69,1.54,6.39,32.22,3,69.70013394772863,"Add more protein sources like dal, paneer or lentils. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Stewed apple with custard,92.87,18.36,1.27,1.82,15.46,1.01,16.66,49.24,0.18,5.6,10.2,1,72.4377317897821,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Apple snowballs,101.51,24.58,0.86,0.31,19.4,1.25,12.8,9.43,0.18,4.46,4.64,1,72.41889772676964,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Hot orange souffle,179.97,18.77,6.87,8.95,14.93,0.29,58.8,53.81,1.03,7.01,30.66,0,74.22122578566791,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Hot chocolate souffle,226.09,26.21,6.7,11.1,22.88,0.12,54.11,60.19,1.08,0.9,30.6,0,74.01574582645452,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Hot vanilla souffle,192.93,21.77,6.87,9.07,18.17,0.13,59.59,63.2,0.93,0.9,28.8,0,74.1031387080772,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Plain burfi (Burfi),408.32,30.88,9.82,27.96,30.43,0.17,31.65,355.78,1.5,0.05,23.94,2,70.64650037789193,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,31.5,3.5,27.63,272.81,1.82,0.0,26.6,3,69.46408792919335,"Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,24.51,5.86,17.68,23.92,0.73,18.15,215.85,0.93,1.08,34.06,0,73.97585410259062,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Chocolate burfi,339.33,33.15,13.0,17.86,32.38,0.0,39.32,466.48,2.12,0.0,23.85,2,70.85922002510073,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,37.92,5.48,28.46,31.43,1.12,4.23,12.95,1.79,0.0,2.1,3,69.099526922661,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Gram flour burfi (Besan burfi),421.79,46.59,11.19,22.41,28.44,3.41,13.02,160.71,1.47,0.0,32.38,3,69.78633756171496,"Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,33.28,4.68,14.4,106.42,1.73,0.03,7.1,3,69.81933628186127,"Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.9,5.68,27.03,27.32,6.69,9.06,26.72,1.83,0.05,5.21,3,70.21537260787196,"Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Gram flour ladoo (Besan ladoo),476.91,62.61,8.93,22.76,37.76,4.43,5.48,25.35,1.51,0.0,24.79,3,69.76867171879735,"Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Sesame ladoo (Til ke ladoo),396.96,43.5,10.7,19.64,38.63,7.72,18.55,631.82,8.94,0.0,18.17,2,72.96721070396187,"Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Chenna murki,252.69,36.01,10.46,8.2,35.55,0.0,11.4,266.85,0.55,0.0,46.65,0,73.78863050006626,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Milk cake,127.41,9.13,3.01,8.93,8.9,0.06,24.97,104.94,0.2,8.0,18.19,1,72.39795638712488,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Ghujia/Lavang latika,768.98,13.0,1.86,78.93,6.08,0.52,3.28,31.01,0.44,0.01,6.86,2,70.42527723182695,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Gulab Jamun with khoya,586.06,26.09,2.03,53.23,24.12,0.07,15.09,67.32,0.39,0.02,16.44,0,73.41886862441545,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Mal pua,566.68,17.56,1.71,54.64,11.77,0.62,6.35,30.05,0.33,0.67,5.3,0,73.73992377719458,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Shahi tukre,189.81,41.46,2.76,2.54,34.7,0.51,71.04,76.47,0.37,0.86,7.61,1,72.10588429158068,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.9,71.84,0.22,1.03,63.38,6.59,0.38,18.53,109.12,0,73.94533196379969,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.9,71.84,0.88,1.11,63.55,7.95,0.36,5.36,119.81,0,73.8942028394191,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,4.52,1.98,71.86,0.23,1.26,66.54,8.44,0.42,37.72,133.47,0,74.02102177235652,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,0.38,1.13,65.35,9.55,0.46,21.46,143.18,0,73.96719901185007,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,0.2,1.02,69.54,10.99,0.52,12.12,153.51,0,73.90417713131238,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,0.25,1.18,69.83,23.07,0.69,23.31,126.81,0,73.9862739987438,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,0.19,0.86,75.37,9.55,0.47,0.01,121.37,0,73.86705290627687,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Bread pakora/pakoda,710.99,8.87,2.57,74.2,0.46,1.11,101.49,19.83,0.46,0.01,114.11,0,73.94823586002381,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Paneer pakora/pakoda,718.12,5.52,3.27,76.05,1.08,0.89,131.7,43.38,0.43,0.07,143.43,0,73.86432462231176,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.8,0.27,0.83,132.53,6.79,0.37,8.96,16.02,0,73.87918745719483,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,0.29,1.19,77.1,7.63,0.5,11.27,12.8,0,74.09005046771176,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,0.5,0.39,88.64,6.7,0.55,0.82,4.62,0,73.95019272444777,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,1.69,1.02,78.18,64.56,0.53,6.67,26.39,0,74.04533718132369,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Mathri,805.12,12.32,1.75,83.1,0.29,0.6,64.7,5.23,0.43,0.0,2.38,2,70.561891285098,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Khasta kachori,712.73,12.81,2.51,72.27,0.34,0.97,90.56,7.84,0.59,0.86,6.38,0,74.00784496141956,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Vegetable cutlet,665.45,4.68,1.25,71.33,0.35,0.93,85.38,13.55,0.4,16.89,30.52,0,73.89737491338956,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,0.27,0.86,76.65,9.17,0.59,12.63,23.98,0,73.93267602607044,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74.0,0.51,1.21,84.24,14.38,0.56,12.63,38.52,0,73.97840910361109,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,0.29,0.54,75.33,10.44,0.36,10.46,19.06,0,73.85196730836385,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.4,1.02,0.41,85.71,45.36,0.38,11.61,41.52,0,73.82516588465418,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.6,0.16,0.93,79.13,11.3,0.57,16.18,49.07,0,73.91924710556603,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Cheese toast,785.37,5.49,1.98,84.11,0.53,0.31,121.05,43.87,0.31,0.0,6.85,2,70.42110400657648,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Vegetable burger,519.93,13.69,3.26,50.63,1.88,1.7,168.97,26.08,0.7,24.68,40.96,0,74.34231570476328,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Cheese pizza,249.5,30.62,5.79,12.43,3.42,1.95,397.73,96.51,1.09,6.72,15.85,0,74.89165404000241,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Vegetable seekh kebab,690.73,5.32,1.57,73.72,0.74,0.59,83.67,32.66,0.36,6.86,13.84,0,73.80271030820208,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Masala vada,826.02,4.06,1.69,89.15,0.24,1.07,74.53,7.45,0.52,2.05,32.14,2,70.51807184277007,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Peanut sago vada (Sabudana mungfali vada),749.89,7.14,1.01,79.82,0.19,0.62,71.29,5.03,0.38,9.74,15.66,0,73.79064095147086,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Vegeterian scotch egg,681.67,4.64,2.16,72.77,0.23,0.58,93.33,15.2,0.46,12.53,32.4,0,73.86124809212566,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food."
Paneer shaslik/tikka,93.85,7.98,5.11,4.49,4.61,1.23,103.39,123.86,0.68,107.71,174.74,1,73.11184090240751,Include fiber-rich veggies or whole grains.
Peanut brittle (Moongfali ki chikki),320.46,47.46,6.94,11.13,43.92,2.63,15.99,68.03,3.22,0.0,7.48,3,69.46402513552529,"Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Spring roll,623.87,8.56,1.81,64.63,0.6,0.67,132.84,9.51,0.49,4.59,9.59,0,73.9405354113915,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Dry mango chutney (Sookhe aam ki chutney),298.13,69.17,2.43,0.7,61.86,3.74,437.91,72.05,3.98,0.25,5.17,3,69.41546518619565,"Add more protein sources like dal, paneer or lentils. | Cut down on sugary items or desserts. | Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Peanut chutney (Mungfali ki chutney),258.37,9.87,11.8,19.06,2.76,5.73,475.34,34.79,1.99,4.2,10.14,0,75.50150643067822,"Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Coconut chutney (Nariyal ki chutney),265.92,8.29,3.59,25.0,3.79,6.73,428.28,15.7,1.25,4.13,4.74,1,73.58365972692434,"Add more protein sources like dal, paneer or lentils. | Limit oily or fried food. | Reduce salt and processed foods. | Add citrus fruits, amla or bell peppers."
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,21.18,2.81,0.51,15.88,4.33,391.66,107.45,4.76,3.62,10.89,1,73.73654148716592,"Add more protein sources like dal, paneer or lentils. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Custard tart,225.6,28.66,3.72,10.73,9.31,0.91,59.74,57.47,0.49,1.18,5.64,1,72.75475243017912,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Lemon tart,303.35,30.68,6.12,17.45,10.68,0.81,76.09,24.03,0.98,2.66,9.19,0,74.44657639648005,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Jam tart,360.72,46.18,4.42,17.35,14.74,1.14,70.34,12.23,0.74,0.0,2.44,3,69.565002316863,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Orange cream tart,197.16,27.43,2.58,8.72,10.08,0.64,36.85,13.84,0.58,19.6,13.7,1,72.71995374448855,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts."
Pineapple tart,195.4,28.62,2.29,8.21,11.09,0.87,37.88,12.02,0.5,6.85,6.84,1,72.68758240409164,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Cheese and mushroom tart,246.1,21.43,5.51,15.28,3.16,1.18,212.42,100.97,0.59,6.53,7.96,0,74.57588385192985,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Cottage cheese pie,238.98,20.66,7.45,13.83,3.62,2.21,103.29,108.05,0.92,36.25,124.39,0,74.90169521541534,Well-balanced dish 👍.
Minced meat pie,221.55,18.11,7.38,13.04,1.42,2.33,127.85,18.14,1.07,37.52,69.49,0,74.98008730607508,Well-balanced dish 👍.
Apple cinnamon pie,258.73,33.68,3.35,12.21,11.95,1.77,60.14,16.14,0.65,2.24,11.58,1,72.8637819184551,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Lemon meringue pie,224.43,35.11,3.88,8.16,21.17,0.44,85.12,16.79,0.67,5.1,17.48,1,72.4660770455631,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Chocolate meringue pie,214.76,28.8,4.98,9.17,15.03,0.37,80.77,55.98,0.92,1.26,23.21,1,72.62346583148422,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Cream puffs,221.33,16.0,4.7,15.48,5.94,0.38,98.76,37.93,0.58,0.2,8.79,0,74.26900744180173,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Chocolate eclairs,239.42,26.22,4.24,13.5,17.34,0.33,85.88,34.21,0.68,0.4,18.34,1,72.42735390206181,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
Cheese balls,681.28,4.81,2.21,72.57,0.63,0.18,120.7,30.01,0.32,0.01,2.95,0,73.74128118688863,"Add more protein sources like dal, paneer or lentils. | Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Minced meat patties,265.72,15.25,6.88,19.57,0.88,0.77,252.18,19.23,0.93,1.58,16.37,0,74.55574890932719,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Cheese patties,324.01,22.23,7.38,22.67,3.93,1.24,295.22,126.41,0.82,3.37,31.43,0,74.59922933782663,"Include fiber-rich veggies or whole grains. | Limit oily or fried food. | Add citrus fruits, amla or bell peppers."
Hot cheese souffle,177.1,5.41,9.18,13.23,2.91,0.12,286.96,169.17,0.83,2.41,66.94,0,74.40249221820578,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Hot potato souffle,125.64,8.56,5.51,7.64,1.78,0.66,97.2,56.84,0.79,30.19,78.05,1,72.91587571978589,Include fiber-rich veggies or whole grains.
Hot fish souffle,142.92,3.69,11.23,9.24,1.68,0.1,110.94,58.18,0.7,2.41,70.97,0,74.47226017239129,"Include fiber-rich veggies or whole grains. | Add citrus fruits, amla or bell peppers."
Hot spinach souffle,104.25,4.19,5.43,7.24,1.64,0.99,104.69,80.77,1.67,47.83,272.44,1,73.11083553888126,Include fiber-rich veggies or whole grains.
Plain cream cake,353.94,47.18,6.18,16.17,27.74,0.71,174.0,41.95,1.02,0.08,8.66,3,69.23646796802568,"Include fiber-rich veggies or whole grains. | Cut down on sugary items or desserts. | Add citrus fruits, amla or bell peppers."
